step=320000: nr=883,  gr=328, contr1=1, contr2=0, npr=0, c=160, c0=9,cnr=50,cgr=18,cnpr=0,cnrgr=83,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=330000: nr=833,  gr=363, contr1=8, contr2=0, npr=0, c=165, c0=9,cnr=42,cgr=15,cnpr=0,cnrgr=99,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=340000: nr=853,  gr=408, contr1=7, contr2=0, npr=0, c=166, c0=4,cnr=37,cgr=11,cnpr=0,cnrgr=114,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=350000: nr=938,  gr=435, contr1=0, contr2=0, npr=0, c=165, c0=6,cnr=38,cgr=6,cnpr=0,cnrgr=115,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=360000: nr=968,  gr=477, contr1=0, contr2=0, npr=0, c=163, c0=4,cnr=29,cgr=5,cnpr=0,cnrgr=125,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=370000: nr=961,  gr=486, contr1=0, contr2=0, npr=0, c=167, c0=3,cnr=27,cgr=9,cnpr=0,cnrgr=128,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=380000: nr=898,  gr=514, contr1=0, contr2=0, npr=0, c=169, c0=3,cnr=24,cgr=10,cnpr=0,cnrgr=132,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=390000: nr=870,  gr=494, contr1=0, contr2=0, npr=0, c=165, c0=3,cnr=27,cgr=9,cnpr=0,cnrgr=126,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=400000: nr=871,  gr=417, contr1=0, contr2=0, npr=0, c=162, c0=3,cnr=29,cgr=8,cnpr=0,cnrgr=122,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=410000: nr=864,  gr=494, contr1=0, contr2=0, npr=0, c=164, c0=8,cnr=24,cgr=5,cnpr=0,cnrgr=127,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=420000: nr=896,  gr=544, contr1=0, contr2=0, npr=0, c=157, c0=3,cnr=16,cgr=14,cnpr=0,cnrgr=124,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=430000: nr=862,  gr=528, contr1=0, contr2=0, npr=0, c=165, c0=2,cnr=21,cgr=12,cnpr=0,cnrgr=130,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=440000: nr=878,  gr=534, contr1=0, contr2=0, npr=0, c=162, c0=2,cnr=21,cgr=13,cnpr=0,cnrgr=126,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=450000: nr=832,  gr=586, contr1=0, contr2=0, npr=0, c=164, c0=2,cnr=13,cgr=11,cnpr=0,cnrgr=138,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=460000: nr=885,  gr=632, contr1=0, contr2=0, npr=0, c=158, c0=1,cnr=6,cgr=11,cnpr=0,cnrgr=140,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=470000: nr=828,  gr=559, contr1=0, contr2=0, npr=0, c=162, c0=3,cnr=18,cgr=12,cnpr=0,cnrgr=129,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=480000: nr=806,  gr=573, contr1=0, contr2=0, npr=0, c=159, c0=3,cnr=18,cgr=15,cnpr=0,cnrgr=123,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=490000: nr=742,  gr=572, contr1=0, contr2=0, npr=0, c=165, c0=4,cnr=8,cgr=25,cnpr=0,cnrgr=128,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=500000: nr=773,  gr=565, contr1=0, contr2=0, npr=0, c=165, c0=1,cnr=15,cgr=25,cnpr=0,cnrgr=124,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=510000: nr=883,  gr=602, contr1=0, contr2=0, npr=0, c=162, c0=1,cnr=17,cgr=13,cnpr=0,cnrgr=131,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=520000: nr=829,  gr=670, contr1=0, contr2=0, npr=0, c=162, c0=4,cnr=8,cgr=12,cnpr=0,cnrgr=138,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=530000: nr=781,  gr=626, contr1=0, contr2=0, npr=0, c=166, c0=0,cnr=12,cgr=23,cnpr=0,cnrgr=131,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=540000: nr=760,  gr=706, contr1=0, contr2=0, npr=0, c=165, c0=2,cnr=11,cgr=20,cnpr=0,cnrgr=132,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=550000: nr=816,  gr=752, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=4,cgr=24,cnpr=0,cnrgr=136,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=560000: nr=789,  gr=730, contr1=0, contr2=0, npr=0, c=164, c0=2,cnr=6,cgr=17,cnpr=0,cnrgr=139,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=570000: nr=918,  gr=670, contr1=0, contr2=0, npr=0, c=160, c0=0,cnr=11,cgr=13,cnpr=0,cnrgr=136,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=580000: nr=801,  gr=742, contr1=0, contr2=0, npr=0, c=158, c0=0,cnr=12,cgr=19,cnpr=0,cnrgr=127,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=590000: nr=761,  gr=726, contr1=0, contr2=0, npr=0, c=160, c0=1,cnr=7,cgr=11,cnpr=0,cnrgr=141,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
