step=310000: nr=0,  gr=1057, contr1=0, contr2=0, npr=0, c=163, c0=0,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=320000: nr=0,  gr=1197, contr1=0, contr2=0, npr=0, c=165, c0=1,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=330000: nr=0,  gr=1140, contr1=0, contr2=0, npr=0, c=163, c0=2,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=340000: nr=0,  gr=1086, contr1=0, contr2=0, npr=0, c=171, c0=1,cnr=0,cgr=170,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=350000: nr=0,  gr=1061, contr1=0, contr2=0, npr=0, c=163, c0=0,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=360000: nr=0,  gr=1004, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=370000: nr=0,  gr=1024, contr1=0, contr2=0, npr=0, c=171, c0=1,cnr=0,cgr=170,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=380000: nr=0,  gr=1113, contr1=0, contr2=0, npr=0, c=162, c0=1,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=390000: nr=0,  gr=1132, contr1=0, contr2=0, npr=0, c=163, c0=0,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=400000: nr=0,  gr=1093, contr1=0, contr2=0, npr=0, c=163, c0=1,cnr=0,cgr=162,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=410000: nr=0,  gr=1182, contr1=0, contr2=0, npr=0, c=161, c0=1,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=420000: nr=0,  gr=1100, contr1=0, contr2=0, npr=0, c=161, c0=1,cnr=0,cgr=160,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=430000: nr=0,  gr=1132, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=440000: nr=0,  gr=1092, contr1=0, contr2=0, npr=0, c=165, c0=0,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=450000: nr=0,  gr=1107, contr1=0, contr2=0, npr=0, c=162, c0=1,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=460000: nr=0,  gr=1040, contr1=0, contr2=0, npr=0, c=161, c0=0,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=470000: nr=0,  gr=1094, contr1=0, contr2=0, npr=0, c=164, c0=0,cnr=0,cgr=164,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=480000: nr=0,  gr=1124, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=490000: nr=0,  gr=1210, contr1=0, contr2=0, npr=0, c=161, c0=0,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=500000: nr=0,  gr=1262, contr1=0, contr2=0, npr=0, c=164, c0=2,cnr=0,cgr=162,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=510000: nr=0,  gr=1171, contr1=0, contr2=0, npr=0, c=166, c0=0,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=520000: nr=0,  gr=1078, contr1=0, contr2=0, npr=0, c=169, c0=1,cnr=0,cgr=168,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=530000: nr=0,  gr=1118, contr1=0, contr2=0, npr=0, c=166, c0=1,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=540000: nr=0,  gr=1072, contr1=0, contr2=0, npr=0, c=167, c0=2,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=550000: nr=0,  gr=1048, contr1=0, contr2=0, npr=0, c=163, c0=1,cnr=0,cgr=162,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=560000: nr=0,  gr=1106, contr1=0, contr2=0, npr=0, c=165, c0=0,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=570000: nr=0,  gr=1096, contr1=0, contr2=0, npr=0, c=163, c0=2,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=580000: nr=0,  gr=1045, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=590000: nr=0,  gr=1138, contr1=0, contr2=0, npr=0, c=172, c0=2,cnr=0,cgr=170,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=600000: nr=0,  gr=1073, contr1=0, contr2=0, npr=0, c=161, c0=0,cnr=0,cgr=161,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=610000: nr=0,  gr=1000, contr1=0, contr2=0, npr=0, c=164, c0=1,cnr=0,cgr=163,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=620000: nr=0,  gr=1036, contr1=0, contr2=0, npr=0, c=167, c0=2,cnr=0,cgr=165,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=630000: nr=0,  gr=1046, contr1=0, contr2=0, npr=0, c=158, c0=0,cnr=0,cgr=158,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=640000: nr=0,  gr=967, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=650000: nr=0,  gr=1044, contr1=0, contr2=0, npr=0, c=167, c0=0,cnr=0,cgr=167,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
step=660000: nr=0,  gr=1009, contr1=0, contr2=0, npr=0, c=167, c0=1,cnr=0,cgr=166,cnpr=0,cnrgr=0,cnrnpr=0,cgrnpr=0,cnrgrnpr=0, 
