----- step=360000: nr=753 (304), hr=5 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10833 (698)  (tn=80640, r=4763)
----- step=370000: nr=832 (371), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10622 (832)  (tn=80640, r=4528)
----- step=380000: nr=910 (473), hr=6 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10515 (1045)  (tn=80640, r=4215)
----- step=390000: nr=910 (468), hr=6 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10444 (1097)  (tn=80640, r=4152)
----- step=400000: nr=1014 (548), hr=6 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10528 (1177)  (tn=80640, r=4116)
----- step=410000: nr=1057 (542), hr=12 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10432 (1187)  (tn=80640, r=3835)
----- step=420000: nr=1120 (653), hr=4 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10221 (1415)  (tn=80640, r=3851)
----- step=430000: nr=1123 (681), hr=2 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10095 (1534)  (tn=80640, r=3670)
----- step=440000: nr=1209 (729), hr=5 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10014 (1606)  (tn=80640, r=3377)
----- step=450000: nr=1231 (773), hr=4 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9911 (1679)  (tn=80640, r=3562)
----- step=460000: nr=1161 (789), hr=6 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9887 (1786)  (tn=80640, r=3638)
----- step=470000: nr=1200 (774), hr=4 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9950 (1760)  (tn=80640, r=3703)
----- step=480000: nr=1194 (762), hr=10 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10036 (1758)  (tn=80640, r=3802)
----- step=490000: nr=1277 (872), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9799 (1945)  (tn=80640, r=4048)
----- step=500000: nr=1362 (865), hr=10 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9796 (1967)  (tn=80640, r=3863)
----- step=510000: nr=1363 (876), hr=10 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9842 (1969)  (tn=80640, r=3622)
----- step=520000: nr=1346 (910), hr=4 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9728 (2039)  (tn=80640, r=3542)
