----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4748 (0)  (tn=80640, r=75039)
----- step=20000: nr=9 (0), hr=0 (0), hr_nr=0 (0), ctr1=2 (0), ctr2=2 (0), ctr3=2 (0), unit=6840 (0)  (tn=80640, r=65617)
----- step=30000: nr=98 (0), hr=2 (0), hr_nr=0 (0), ctr1=1 (0), ctr2=0 (0), ctr3=0 (0), unit=9860 (0)  (tn=80640, r=48201)
----- step=40000: nr=247 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11452 (0)  (tn=80640, r=33682)
----- step=50000: nr=327 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11790 (0)  (tn=80640, r=25663)
----- step=60000: nr=393 (0), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11674 (0)  (tn=80640, r=20877)
----- step=70000: nr=412 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11497 (0)  (tn=80640, r=17780)
----- step=80000: nr=423 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11223 (0)  (tn=80640, r=15864)
----- step=90000: nr=419 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10934 (0)  (tn=80640, r=13834)
----- step=100000: nr=431 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10997 (0)  (tn=80640, r=11947)
----- step=110000: nr=443 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10975 (0)  (tn=80640, r=10370)
----- step=120000: nr=485 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10957 (0)  (tn=80640, r=8631)
----- step=130000: nr=484 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11042 (0)  (tn=80640, r=7105)
