----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4737 (0)  (tn=80640, r=75093)
----- step=20000: nr=2 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=2 (0), ctr3=1 (0), unit=6602 (0)  (tn=80640, r=67267)
----- step=30000: nr=23 (0), hr=0 (0), hr_nr=0 (0), ctr1=1 (0), ctr2=0 (0), ctr3=0 (0), unit=9551 (0)  (tn=80640, r=53655)
----- step=40000: nr=66 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11516 (0)  (tn=80640, r=42175)
----- step=50000: nr=87 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12297 (0)  (tn=80640, r=35539)
----- step=60000: nr=119 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12357 (0)  (tn=80640, r=32390)
----- step=70000: nr=135 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12370 (0)  (tn=80640, r=30168)
----- step=80000: nr=139 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12278 (0)  (tn=80640, r=28637)
----- step=90000: nr=176 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12207 (0)  (tn=80640, r=27118)
----- step=100000: nr=193 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11794 (0)  (tn=80640, r=26074)
----- step=110000: nr=229 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11725 (0)  (tn=80640, r=24838)
----- step=120000: nr=231 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11395 (0)  (tn=80640, r=24155)
----- step=130000: nr=269 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11315 (0)  (tn=80640, r=22732)
----- step=140000: nr=235 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11120 (0)  (tn=80640, r=21358)
----- step=150000: nr=260 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10958 (0)  (tn=80640, r=20093)
----- step=160000: nr=269 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10812 (0)  (tn=80640, r=18841)
----- step=170000: nr=273 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10766 (0)  (tn=80640, r=17454)
----- step=180000: nr=272 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10469 (0)  (tn=80640, r=16725)
----- step=190000: nr=283 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10389 (0)  (tn=80640, r=15628)
----- step=200000: nr=256 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10396 (0)  (tn=80640, r=14617)
----- step=210000: nr=273 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10375 (4)  (tn=80640, r=12968)
----- step=220000: nr=282 (1), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10479 (60)  (tn=80640, r=11709)
----- step=230000: nr=305 (11), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10285 (178)  (tn=80640, r=10635)
----- step=240000: nr=347 (16), hr=6 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10131 (344)  (tn=80640, r=8782)
----- step=250000: nr=317 (19), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10082 (469)  (tn=80640, r=8037)
----- step=260000: nr=353 (25), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10012 (535)  (tn=80640, r=6964)
----- step=270000: nr=352 (47), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9834 (727)  (tn=80640, r=6380)
