----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4710 (0)  (tn=80640, r=75103)
----- step=20000: nr=5 (0), hr=0 (0), hr_nr=0 (0), ctr1=2 (0), ctr2=1 (0), ctr3=2 (0), unit=6651 (0)  (tn=80640, r=67104)
----- step=30000: nr=97 (1), hr=3 (0), hr_nr=0 (0), ctr1=1 (0), ctr2=0 (0), ctr3=0 (0), unit=9553 (3)  (tn=80640, r=51375)
----- step=40000: nr=215 (17), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11383 (41)  (tn=80640, r=38569)
----- step=50000: nr=325 (24), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11631 (54)  (tn=80640, r=31567)
----- step=60000: nr=356 (59), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11593 (133)  (tn=80640, r=26766)
----- step=70000: nr=457 (98), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11282 (219)  (tn=80640, r=24132)
----- step=80000: nr=531 (146), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11145 (311)  (tn=80640, r=21318)
----- step=90000: nr=591 (193), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10771 (449)  (tn=80640, r=19395)
----- step=100000: nr=689 (255), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10352 (576)  (tn=80640, r=17223)
----- step=110000: nr=767 (223), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10294 (527)  (tn=80640, r=15245)
----- step=120000: nr=840 (325), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10134 (716)  (tn=80640, r=13243)
----- step=130000: nr=908 (328), hr=2 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9982 (728)  (tn=80640, r=11593)
----- step=140000: nr=949 (377), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9828 (812)  (tn=80640, r=9962)
----- step=150000: nr=928 (405), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9839 (870)  (tn=80640, r=8123)
