----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4725 (0)  (tn=80640, r=75093)
----- step=30000: nr=106 (0), hr=6 (0), hr_nr=0 (0), ctr1=2 (0), ctr2=0 (0), ctr3=0 (0), unit=9906 (0)  (tn=80640, r=49267)
----- step=40000: nr=190 (0), hr=1 (0), hr_nr=0 (0), ctr1=2 (0), ctr2=0 (0), ctr3=0 (0), unit=11574 (0)  (tn=80640, r=36962)
----- step=50000: nr=271 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11715 (0)  (tn=80640, r=30318)
----- step=60000: nr=323 (0), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11361 (0)  (tn=80640, r=25861)
----- step=70000: nr=319 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10954 (0)  (tn=80640, r=22747)
----- step=80000: nr=310 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10728 (0)  (tn=80640, r=20139)
----- step=90000: nr=307 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10392 (0)  (tn=80640, r=18204)
----- step=100000: nr=313 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10150 (0)  (tn=80640, r=16477)
----- step=110000: nr=270 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9845 (0)  (tn=80640, r=15640)
----- step=120000: nr=283 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9870 (0)  (tn=80640, r=14309)
----- step=130000: nr=238 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9861 (0)  (tn=80640, r=13112)
----- step=140000: nr=267 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9887 (0)  (tn=80640, r=12466)
----- step=150000: nr=291 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9876 (0)  (tn=80640, r=11808)
----- step=160000: nr=313 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9930 (0)  (tn=80640, r=10725)
----- step=170000: nr=362 (11), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10071 (22)  (tn=80640, r=9022)
----- step=180000: nr=390 (28), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10264 (54)  (tn=80640, r=7752)
----- step=190000: nr=391 (65), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10420 (150)  (tn=80640, r=6893)
----- step=200000: nr=419 (99), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10383 (244)  (tn=80640, r=6639)
----- step=210000: nr=495 (171), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10504 (351)  (tn=80640, r=6459)
----- step=220000: nr=582 (205), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10350 (445)  (tn=80640, r=6046)
----- step=230000: nr=647 (239), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10334 (553)  (tn=80640, r=5707)
----- step=240000: nr=730 (314), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10261 (738)  (tn=80640, r=5309)
----- step=250000: nr=835 (366), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10189 (850)  (tn=80640, r=4703)
----- step=260000: nr=883 (379), hr=3 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10186 (873)  (tn=80640, r=5074)
----- step=270000: nr=844 (407), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10171 (985)  (tn=80640, r=5203)
----- step=280000: nr=860 (381), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10193 (903)  (tn=80640, r=5270)
----- step=290000: nr=971 (464), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10160 (1102)  (tn=80640, r=4712)
