----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4748 (0)  (tn=80640, r=75074)
----- step=20000: nr=62 (0), hr=0 (0), hr_nr=0 (0), ctr1=1 (0), ctr2=2 (0), ctr3=1 (0), unit=7096 (0)  (tn=80640, r=62436)
----- step=30000: nr=210 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9718 (0)  (tn=80640, r=43283)
----- step=40000: nr=380 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10694 (0)  (tn=80640, r=30335)
----- step=60000: nr=569 (36), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10733 (74)  (tn=80640, r=17876)
----- step=70000: nr=644 (56), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10609 (119)  (tn=80640, r=14058)
----- step=80000: nr=588 (40), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10521 (130)  (tn=80640, r=11323)
----- step=90000: nr=598 (88), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10568 (193)  (tn=80640, r=9244)
----- step=100000: nr=657 (123), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10498 (290)  (tn=80640, r=7534)
----- step=110000: nr=615 (156), hr=3 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10710 (369)  (tn=80640, r=6017)
----- step=120000: nr=649 (174), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10816 (371)  (tn=80640, r=5241)
----- step=130000: nr=658 (211), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11049 (447)  (tn=80640, r=4833)
----- step=140000: nr=681 (180), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11020 (402)  (tn=80640, r=4726)
----- step=150000: nr=678 (210), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10953 (454)  (tn=80640, r=4744)
----- step=160000: nr=674 (214), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10828 (457)  (tn=80640, r=4423)
----- step=170000: nr=724 (220), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10923 (457)  (tn=80640, r=4355)
----- step=180000: nr=667 (212), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11016 (484)  (tn=80640, r=4618)
----- step=190000: nr=697 (172), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11060 (399)  (tn=80640, r=4963)
----- step=200000: nr=656 (189), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11017 (436)  (tn=80640, r=4879)
----- step=210000: nr=647 (222), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11142 (484)  (tn=80640, r=4844)
----- step=220000: nr=645 (188), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11145 (457)  (tn=80640, r=4757)
----- step=230000: nr=696 (223), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11080 (540)  (tn=80640, r=4580)
----- step=240000: nr=743 (265), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11080 (595)  (tn=80640, r=4756)
----- step=250000: nr=748 (264), hr=3 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10979 (581)  (tn=80640, r=4805)
----- step=260000: nr=726 (227), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11148 (528)  (tn=80640, r=4713)
----- step=270000: nr=724 (260), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11008 (563)  (tn=80640, r=5033)
