step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4828 (0)  (tn=80640, r=74997)
step=20000: nr=24 (0), hr=0 (0), hr_nr=0 (0), ctr1=2 (0), ctr2=0 (0), ctr3=0 (0), unit=6843 (0)  (tn=80640, r=64336)
step=30000: nr=207 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9832 (0)  (tn=80640, r=44210)
step=40000: nr=408 (13), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10837 (36)  (tn=80640, r=29255)
step=50000: nr=552 (54), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10639 (108)  (tn=80640, r=20358)
step=60000: nr=639 (61), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10015 (133)  (tn=80640, r=15139)
step=70000: nr=602 (97), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9839 (218)  (tn=80640, r=11234)
step=80000: nr=617 (153), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9696 (330)  (tn=80640, r=8531)
step=90000: nr=616 (186), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9608 (440)  (tn=80640, r=6858)
step=100000: nr=637 (197), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9677 (436)  (tn=80640, r=5989)
step=110000: nr=642 (237), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9900 (543)  (tn=80640, r=5405)
step=120000: nr=680 (233), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9912 (540)  (tn=80640, r=5151)
step=130000: nr=702 (217), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9928 (494)  (tn=80640, r=4900)
step=140000: nr=706 (203), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9854 (485)  (tn=80640, r=4527)
step=150000: nr=660 (169), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9827 (415)  (tn=80640, r=4242)
step=160000: nr=635 (164), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9740 (386)  (tn=80640, r=4546)
step=170000: nr=560 (151), hr=3 (1), hr_nr=1 (1), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9743 (359)  (tn=80640, r=4307)
step=180000: nr=547 (177), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9687 (390)  (tn=80640, r=3888)
step=190000: nr=494 (189), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9595 (443)  (tn=80640, r=4753)
step=200000: nr=527 (214), hr=1 (1), hr_nr=1 (1), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9551 (471)  (tn=80640, r=4528)
step=210000: nr=502 (225), hr=1 (1), hr_nr=1 (1), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9545 (475)  (tn=80640, r=4714)
step=220000: nr=479 (205), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9575 (448)  (tn=80640, r=4859)
step=230000: nr=501 (219), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9666 (475)  (tn=80640, r=5057)
step=240000: nr=497 (235), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9691 (537)  (tn=80640, r=5259)
step=250000: nr=480 (219), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9769 (485)  (tn=80640, r=5639)
step=260000: nr=544 (288), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9759 (581)  (tn=80640, r=5714)
step=270000: nr=565 (307), hr=6 (0), hr_nr=3 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9675 (649)  (tn=80640, r=6287)
step=280000: nr=594 (293), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9699 (701)  (tn=80640, r=6205)
step=290000: nr=668 (361), hr=4 (3), hr_nr=2 (2), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9700 (778)  (tn=80640, r=6114)
step=300000: nr=746 (409), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9844 (877)  (tn=80640, r=6280)
step=310000: nr=738 (388), hr=5 (1), hr_nr=1 (1), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9984 (857)  (tn=80640, r=6149)
step=320000: nr=771 (429), hr=5 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9943 (939)  (tn=80640, r=6275)
step=330000: nr=760 (425), hr=4 (1), hr_nr=1 (1), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9961 (969)  (tn=80640, r=5642)
step=340000: nr=801 (455), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10160 (1001)  (tn=80640, r=5343)
step=350000: nr=764 (441), hr=3 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10247 (976)  (tn=80640, r=5511)
step=360000: nr=767 (458), hr=6 (4), hr_nr=1 (1), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10227 (1037)  (tn=80640, r=5550)
