----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4685 (0)  (tn=80640, r=75120)
----- step=20000: nr=5 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=2 (0), unit=6590 (0)  (tn=80640, r=66550)
----- step=30000: nr=66 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9602 (0)  (tn=80640, r=51452)
----- step=40000: nr=129 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11155 (0)  (tn=80640, r=40661)
----- step=50000: nr=230 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11624 (0)  (tn=80640, r=34168)
----- step=60000: nr=283 (0), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11654 (0)  (tn=80640, r=30175)
----- step=70000: nr=284 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11555 (0)  (tn=80640, r=27134)
----- step=80000: nr=271 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11454 (0)  (tn=80640, r=25222)
----- step=90000: nr=274 (0), hr=9 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11302 (0)  (tn=80640, r=23562)
----- step=100000: nr=295 (0), hr=8 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11209 (0)  (tn=80640, r=21511)
----- step=110000: nr=301 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11095 (0)  (tn=80640, r=19991)
----- step=120000: nr=300 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11133 (0)  (tn=80640, r=18370)
----- step=130000: nr=341 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11110 (0)  (tn=80640, r=16706)
----- step=140000: nr=342 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11004 (0)  (tn=80640, r=15244)
----- step=150000: nr=389 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11021 (0)  (tn=80640, r=13808)
----- step=160000: nr=367 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10930 (0)  (tn=80640, r=12713)
----- step=170000: nr=358 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10940 (0)  (tn=80640, r=11691)
