----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4869 (0)  (tn=80640, r=74919)
----- step=20000: nr=15 (0), hr=1 (0), hr_nr=0 (0), ctr1=3 (0), ctr2=1 (0), ctr3=1 (0), unit=6936 (0)  (tn=80640, r=65065)
----- step=30000: nr=107 (0), hr=0 (0), hr_nr=0 (0), ctr1=1 (0), ctr2=1 (0), ctr3=0 (0), unit=9886 (0)  (tn=80640, r=47579)
----- step=40000: nr=224 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=1 (0), ctr3=0 (0), unit=11397 (0)  (tn=80640, r=33560)
----- step=50000: nr=325 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11764 (0)  (tn=80640, r=25638)
----- step=60000: nr=406 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11583 (0)  (tn=80640, r=20875)
----- step=70000: nr=451 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11154 (0)  (tn=80640, r=17795)
----- step=80000: nr=451 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10958 (0)  (tn=80640, r=15322)
----- step=90000: nr=461 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10866 (0)  (tn=80640, r=13009)
----- step=100000: nr=462 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10754 (0)  (tn=80640, r=10974)
----- step=110000: nr=444 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10795 (0)  (tn=80640, r=9144)
----- step=120000: nr=376 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10791 (0)  (tn=80640, r=8269)
----- step=130000: nr=408 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10750 (0)  (tn=80640, r=7353)
----- step=140000: nr=368 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10785 (0)  (tn=80640, r=6807)
----- step=150000: nr=380 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10742 (0)  (tn=80640, r=6374)
----- step=160000: nr=373 (0), hr=2 (0), hr_nr=1 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10822 (0)  (tn=80640, r=5914)
----- step=170000: nr=341 (0), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10998 (0)  (tn=80640, r=5467)
----- step=180000: nr=313 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11094 (0)  (tn=80640, r=5978)
----- step=190000: nr=338 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11175 (0)  (tn=80640, r=6120)
----- step=200000: nr=335 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11344 (0)  (tn=80640, r=6046)
----- step=210000: nr=324 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11371 (4)  (tn=80640, r=6232)
----- step=220000: nr=379 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11412 (0)  (tn=80640, r=6122)
----- step=230000: nr=365 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11239 (0)  (tn=80640, r=5808)
----- step=240000: nr=364 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11344 (0)  (tn=80640, r=5855)
----- step=250000: nr=373 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11418 (0)  (tn=80640, r=6296)
----- step=260000: nr=370 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11463 (0)  (tn=80640, r=6291)
----- step=270000: nr=438 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11591 (0)  (tn=80640, r=6152)
----- step=280000: nr=428 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11492 (0)  (tn=80640, r=5824)
----- step=290000: nr=402 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11368 (0)  (tn=80640, r=5660)
----- step=300000: nr=403 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11310 (0)  (tn=80640, r=5112)
----- step=310000: nr=350 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11264 (0)  (tn=80640, r=5075)
----- step=320000: nr=358 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11301 (0)  (tn=80640, r=5493)
----- step=330000: nr=397 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11254 (0)  (tn=80640, r=5581)
----- step=340000: nr=370 (1), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11436 (1)  (tn=80640, r=5318)
----- step=350000: nr=384 (2), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11396 (22)  (tn=80640, r=5771)
----- step=360000: nr=449 (13), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11310 (54)  (tn=80640, r=5627)
----- step=370000: nr=465 (30), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11315 (105)  (tn=80640, r=4941)
----- step=380000: nr=495 (76), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11161 (180)  (tn=80640, r=5293)
----- step=390000: nr=494 (99), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11102 (261)  (tn=80640, r=5613)
----- step=400000: nr=571 (132), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11080 (318)  (tn=80640, r=5501)
----- step=410000: nr=577 (164), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11036 (426)  (tn=80640, r=5159)
----- step=420000: nr=617 (225), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11004 (547)  (tn=80640, r=5234)
----- step=430000: nr=660 (236), hr=3 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10971 (571)  (tn=80640, r=5587)
----- step=440000: nr=736 (288), hr=2 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10870 (704)  (tn=80640, r=5122)
----- step=450000: nr=733 (328), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10985 (770)  (tn=80640, r=4950)
----- step=460000: nr=769 (331), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11034 (769)  (tn=80640, r=4694)
----- step=470000: nr=829 (397), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11034 (859)  (tn=80640, r=4270)
----- step=480000: nr=826 (452), hr=3 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10910 (1040)  (tn=80640, r=4565)
----- step=490000: nr=852 (435), hr=5 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10928 (1062)  (tn=80640, r=4788)
----- step=500000: nr=900 (521), hr=5 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10886 (1162)  (tn=80640, r=4757)
----- step=510000: nr=863 (466), hr=4 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10743 (1135)  (tn=80640, r=4800)
----- step=520000: nr=932 (516), hr=7 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10724 (1157)  (tn=80640, r=4077)
----- step=530000: nr=930 (538), hr=7 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10839 (1233)  (tn=80640, r=3916)
----- step=540000: nr=988 (610), hr=4 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10670 (1344)  (tn=80640, r=4007)
----- step=550000: nr=995 (614), hr=7 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10645 (1370)  (tn=80640, r=4243)
