----- step=360000: nr=389 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11490 (0)  (tn=80640, r=5574)
----- step=370000: nr=402 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11379 (0)  (tn=80640, r=5288)
----- step=380000: nr=403 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11356 (0)  (tn=80640, r=5318)
----- step=390000: nr=376 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11255 (0)  (tn=80640, r=5678)
----- step=400000: nr=448 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11175 (0)  (tn=80640, r=5061)
----- step=410000: nr=372 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11178 (0)  (tn=80640, r=5351)
----- step=420000: nr=348 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11096 (0)  (tn=80640, r=5544)
----- step=430000: nr=416 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11154 (0)  (tn=80640, r=5596)
----- step=440000: nr=396 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11161 (0)  (tn=80640, r=5848)
----- step=450000: nr=373 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11335 (0)  (tn=80640, r=5921)
----- step=460000: nr=343 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11114 (0)  (tn=80640, r=5930)
----- step=470000: nr=301 (7), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11219 (13)  (tn=80640, r=6152)
