step=370000: nr=1086 (522), hr=6 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10001 (1151)  (tn=80640, r=4123)
step=380000: nr=1172 (575), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9901 (1319)  (tn=80640, r=3805)
step=390000: nr=1194 (597), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9872 (1317)  (tn=80640, r=3794)
step=400000: nr=1177 (616), hr=6 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9880 (1421)  (tn=80640, r=3777)
step=410000: nr=1264 (651), hr=4 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9680 (1456)  (tn=80640, r=3806)
step=420000: nr=1281 (783), hr=6 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9542 (1702)  (tn=80640, r=3643)
step=430000: nr=1317 (819), hr=11 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9464 (1876)  (tn=80640, r=3427)
step=440000: nr=1315 (763), hr=8 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9565 (1723)  (tn=80640, r=3620)
step=450000: nr=1384 (847), hr=10 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9439 (1918)  (tn=80640, r=3695)
step=460000: nr=1492 (887), hr=6 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9367 (2024)  (tn=80640, r=3761)
step=470000: nr=1471 (904), hr=6 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9371 (2022)  (tn=80640, r=3545)
step=480000: nr=1501 (870), hr=8 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9376 (1988)  (tn=80640, r=3286)
step=490000: nr=1430 (930), hr=6 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9417 (2073)  (tn=80640, r=3234)
step=500000: nr=1464 (1003), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9324 (2220)  (tn=80640, r=3355)
step=510000: nr=1393 (931), hr=4 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9370 (2184)  (tn=80640, r=3394)
step=520000: nr=1399 (925), hr=6 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9224 (2116)  (tn=80640, r=3480)
step=530000: nr=1470 (957), hr=9 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9190 (2167)  (tn=80640, r=3282)
step=540000: nr=1433 (868), hr=9 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9376 (1992)  (tn=80640, r=3056)
step=550000: nr=1458 (971), hr=15 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9420 (2092)  (tn=80640, r=3248)
step=560000: nr=1425 (990), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9329 (2198)  (tn=80640, r=3401)
step=570000: nr=1445 (1023), hr=11 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9340 (2303)  (tn=80640, r=3808)
step=580000: nr=1424 (1034), hr=8 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9236 (2263)  (tn=80640, r=4089)
step=590000: nr=1395 (1017), hr=14 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9217 (2251)  (tn=80640, r=4349)
step=600000: nr=1526 (1073), hr=17 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9085 (2354)  (tn=80640, r=4248)
step=610000: nr=1453 (999), hr=17 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9210 (2263)  (tn=80640, r=4237)
step=620000: nr=1456 (1023), hr=8 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9088 (2331)  (tn=80640, r=4093)
step=630000: nr=1410 (979), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9169 (2245)  (tn=80640, r=3858)
step=640000: nr=1494 (1046), hr=10 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9144 (2352)  (tn=80640, r=3906)
step=650000: nr=1456 (1049), hr=19 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9123 (2438)  (tn=80640, r=3723)
step=660000: nr=1417 (967), hr=17 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9212 (2156)  (tn=80640, r=3611)
step=670000: nr=1433 (1022), hr=15 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9269 (2294)  (tn=80640, r=3636)
step=680000: nr=1389 (1033), hr=15 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9161 (2364)  (tn=80640, r=3980)
step=690000: nr=1308 (1013), hr=16 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9209 (2311)  (tn=80640, r=3973)
step=700000: nr=1381 (1028), hr=15 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9152 (2307)  (tn=80640, r=4180)
step=710000: nr=1367 (1042), hr=13 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9243 (2244)  (tn=80640, r=4292)
step=720000: nr=1424 (1023), hr=8 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9202 (2233)  (tn=80640, r=4419)
step=730000: nr=1383 (1063), hr=8 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9224 (2361)  (tn=80640, r=4343)
step=740000: nr=1470 (1080), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9137 (2392)  (tn=80640, r=4712)
step=750000: nr=1376 (1036), hr=13 (10), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9134 (2356)  (tn=80640, r=4367)
step=760000: nr=1342 (1006), hr=16 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9201 (2294)  (tn=80640, r=4440)
step=770000: nr=1411 (1004), hr=20 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9216 (2306)  (tn=80640, r=4447)
step=780000: nr=1429 (1092), hr=10 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9249 (2414)  (tn=80640, r=4517)
step=790000: nr=1457 (1070), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9143 (2344)  (tn=80640, r=4763)
step=800000: nr=1502 (1121), hr=11 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9137 (2442)  (tn=80640, r=4430)
step=810000: nr=1423 (1054), hr=17 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9193 (2286)  (tn=80640, r=4383)
step=820000: nr=1388 (1036), hr=10 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9225 (2297)  (tn=80640, r=4502)
step=830000: nr=1375 (1035), hr=14 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9176 (2317)  (tn=80640, r=4646)
step=840000: nr=1439 (1067), hr=16 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9144 (2329)  (tn=80640, r=4537)
step=850000: nr=1398 (1095), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9078 (2445)  (tn=80640, r=4471)
