step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4764 (0)  (tn=80640, r=75042)
step=20000: nr=2 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=1 (0), ctr3=1 (0), unit=6983 (0)  (tn=80640, r=65239)
step=30000: nr=22 (0), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=1 (0), unit=9894 (0)  (tn=80640, r=50510)
step=40000: nr=59 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11688 (0)  (tn=80640, r=39411)
step=50000: nr=100 (8), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12133 (15)  (tn=80640, r=33777)
step=60000: nr=172 (19), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12490 (49)  (tn=80640, r=30355)
step=70000: nr=220 (50), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12317 (116)  (tn=80640, r=28549)
step=80000: nr=276 (58), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12193 (153)  (tn=80640, r=26937)
step=90000: nr=289 (84), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12092 (218)  (tn=80640, r=26046)
step=100000: nr=329 (96), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11861 (247)  (tn=80640, r=24916)
step=110000: nr=402 (144), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11827 (439)  (tn=80640, r=23363)
step=120000: nr=459 (173), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11502 (492)  (tn=80640, r=22296)
step=130000: nr=585 (267), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11285 (684)  (tn=80640, r=21391)
step=140000: nr=677 (366), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10976 (905)  (tn=80640, r=20201)
step=150000: nr=747 (415), hr=4 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10678 (1030)  (tn=80640, r=19145)
step=160000: nr=874 (461), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10301 (1135)  (tn=80640, r=18511)
