step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4866 (0)  (tn=80640, r=74947)
step=20000: nr=34 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=2 (0), ctr3=2 (0), unit=7019 (0)  (tn=80640, r=63852)
step=30000: nr=156 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=1 (0), unit=9818 (0)  (tn=80640, r=46000)
step=40000: nr=307 (0), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11165 (0)  (tn=80640, r=34085)
step=50000: nr=372 (0), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11351 (0)  (tn=80640, r=27569)
step=60000: nr=436 (0), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11265 (0)  (tn=80640, r=23645)
step=70000: nr=482 (3), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11108 (6)  (tn=80640, r=20017)
step=80000: nr=442 (10), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11043 (26)  (tn=80640, r=17403)
step=90000: nr=403 (16), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11129 (43)  (tn=80640, r=15444)
step=100000: nr=411 (43), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11017 (102)  (tn=80640, r=14081)
step=110000: nr=495 (72), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10854 (162)  (tn=80640, r=12729)
step=120000: nr=569 (125), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10582 (304)  (tn=80640, r=11390)
step=130000: nr=665 (204), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10444 (442)  (tn=80640, r=10064)
step=140000: nr=714 (212), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10515 (504)  (tn=80640, r=8663)
step=150000: nr=820 (233), hr=3 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10395 (544)  (tn=80640, r=7345)
step=160000: nr=825 (292), hr=4 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10462 (687)  (tn=80640, r=6096)
step=170000: nr=824 (288), hr=3 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10441 (667)  (tn=80640, r=5233)
step=180000: nr=812 (320), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10438 (689)  (tn=80640, r=5026)
step=190000: nr=865 (387), hr=2 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10530 (822)  (tn=80640, r=4978)
step=200000: nr=852 (385), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10631 (836)  (tn=80640, r=4437)
step=210000: nr=874 (378), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10601 (806)  (tn=80640, r=4518)
step=220000: nr=872 (356), hr=3 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10605 (831)  (tn=80640, r=4317)
step=230000: nr=836 (396), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10516 (887)  (tn=80640, r=4389)
step=240000: nr=870 (414), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10694 (900)  (tn=80640, r=4349)
step=250000: nr=850 (399), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10642 (897)  (tn=80640, r=4736)
step=260000: nr=852 (402), hr=3 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10638 (929)  (tn=80640, r=4761)
step=270000: nr=885 (440), hr=4 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10623 (1030)  (tn=80640, r=4337)
step=280000: nr=857 (427), hr=5 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10535 (990)  (tn=80640, r=4004)
step=290000: nr=907 (469), hr=5 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10448 (1053)  (tn=80640, r=4070)
step=300000: nr=884 (445), hr=4 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10548 (985)  (tn=80640, r=4230)
step=310000: nr=850 (463), hr=4 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10614 (997)  (tn=80640, r=4266)
step=320000: nr=840 (407), hr=3 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10456 (942)  (tn=80640, r=4679)
step=330000: nr=903 (448), hr=6 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10455 (968)  (tn=80640, r=4735)
step=340000: nr=848 (381), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10531 (882)  (tn=80640, r=4709)
step=350000: nr=909 (446), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10444 (1003)  (tn=80640, r=4623)
step=360000: nr=878 (482), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10367 (1090)  (tn=80640, r=5043)
step=370000: nr=928 (489), hr=5 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10374 (1144)  (tn=80640, r=4890)
step=380000: nr=1005 (516), hr=4 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10382 (1197)  (tn=80640, r=4438)
step=390000: nr=1080 (594), hr=7 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10202 (1287)  (tn=80640, r=4268)
step=400000: nr=1045 (558), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10099 (1254)  (tn=80640, r=4339)
step=410000: nr=1039 (534), hr=4 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10219 (1257)  (tn=80640, r=4200)
step=420000: nr=1139 (613), hr=6 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10147 (1410)  (tn=80640, r=4313)
step=430000: nr=1113 (667), hr=5 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10126 (1551)  (tn=80640, r=4864)
step=440000: nr=1240 (692), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9967 (1597)  (tn=80640, r=5002)
step=450000: nr=1256 (675), hr=6 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9951 (1586)  (tn=80640, r=4504)
step=460000: nr=1282 (710), hr=7 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10001 (1583)  (tn=80640, r=3917)
step=470000: nr=1299 (780), hr=6 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9945 (1797)  (tn=80640, r=3640)
step=480000: nr=1277 (738), hr=5 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9892 (1739)  (tn=80640, r=3797)
step=490000: nr=1302 (824), hr=6 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9854 (1847)  (tn=80640, r=3686)
step=500000: nr=1341 (917), hr=10 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9730 (1992)  (tn=80640, r=3942)
step=510000: nr=1354 (927), hr=13 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9635 (2126)  (tn=80640, r=3622)
step=520000: nr=1379 (969), hr=18 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9457 (2250)  (tn=80640, r=3744)
step=530000: nr=1400 (933), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9516 (2170)  (tn=80640, r=3493)
step=540000: nr=1434 (1031), hr=9 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9487 (2282)  (tn=80640, r=3424)
