----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4849 (0)  (tn=80640, r=74925)
----- step=20000: nr=23 (0), hr=1 (0), hr_nr=0 (0), ctr1=1 (0), ctr2=0 (0), ctr3=2 (0), unit=6883 (0)  (tn=80640, r=64145)
----- step=30000: nr=183 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9746 (0)  (tn=80640, r=44455)
----- step=40000: nr=340 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11101 (0)  (tn=80640, r=31356)
----- step=50000: nr=476 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11238 (0)  (tn=80640, r=23593)
----- step=60000: nr=546 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10895 (0)  (tn=80640, r=19350)
----- step=70000: nr=501 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10922 (0)  (tn=80640, r=15560)
----- step=80000: nr=487 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10781 (0)  (tn=80640, r=12995)
----- step=90000: nr=460 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10856 (0)  (tn=80640, r=11172)
----- step=100000: nr=425 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11060 (0)  (tn=80640, r=9380)
----- step=110000: nr=394 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11218 (0)  (tn=80640, r=7969)
----- step=120000: nr=388 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11281 (0)  (tn=80640, r=7474)
----- step=130000: nr=419 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11391 (0)  (tn=80640, r=6598)
----- step=140000: nr=423 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11458 (0)  (tn=80640, r=5973)
----- step=150000: nr=395 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11500 (0)  (tn=80640, r=5687)
----- step=160000: nr=371 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11435 (0)  (tn=80640, r=5413)
----- step=170000: nr=392 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11589 (0)  (tn=80640, r=5374)
----- step=180000: nr=377 (8), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11680 (19)  (tn=80640, r=5433)
----- step=190000: nr=396 (23), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11583 (52)  (tn=80640, r=5448)
----- step=200000: nr=444 (41), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11545 (84)  (tn=80640, r=5431)
----- step=210000: nr=475 (41), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11599 (92)  (tn=80640, r=5160)
----- step=220000: nr=485 (51), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11515 (125)  (tn=80640, r=5087)
----- step=230000: nr=533 (72), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11557 (173)  (tn=80640, r=4436)
----- step=240000: nr=536 (117), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11537 (260)  (tn=80640, r=4416)
----- step=250000: nr=599 (156), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11457 (339)  (tn=80640, r=4779)
----- step=260000: nr=562 (158), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11613 (337)  (tn=80640, r=4756)
