step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4637 (0)  (tn=80640, r=75180)
step=20000: nr=18 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=1 (0), ctr3=0 (0), unit=6792 (0)  (tn=80640, r=65244)
step=30000: nr=121 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9727 (0)  (tn=80640, r=47415)
step=40000: nr=246 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11318 (0)  (tn=80640, r=34827)
step=50000: nr=261 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11791 (0)  (tn=80640, r=28603)
step=60000: nr=309 (0), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11568 (0)  (tn=80640, r=25394)
step=70000: nr=282 (0), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11568 (0)  (tn=80640, r=22672)
step=80000: nr=329 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11442 (0)  (tn=80640, r=21204)
step=90000: nr=324 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11043 (0)  (tn=80640, r=19687)
step=100000: nr=350 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11021 (0)  (tn=80640, r=17944)
step=110000: nr=360 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10914 (0)  (tn=80640, r=16490)
step=120000: nr=399 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10651 (0)  (tn=80640, r=15811)
step=130000: nr=358 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10642 (0)  (tn=80640, r=14105)
step=140000: nr=396 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10636 (0)  (tn=80640, r=12466)
step=150000: nr=399 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10749 (0)  (tn=80640, r=10789)
step=160000: nr=433 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10758 (0)  (tn=80640, r=9189)
step=170000: nr=409 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10916 (0)  (tn=80640, r=7743)
step=180000: nr=399 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10917 (0)  (tn=80640, r=6925)
step=190000: nr=320 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11159 (0)  (tn=80640, r=6656)
step=200000: nr=369 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11117 (0)  (tn=80640, r=6135)
step=210000: nr=356 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11202 (0)  (tn=80640, r=5892)
step=220000: nr=395 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11181 (0)  (tn=80640, r=5702)
step=230000: nr=454 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11129 (0)  (tn=80640, r=5088)
step=240000: nr=415 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11151 (0)  (tn=80640, r=4668)
step=250000: nr=408 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11284 (0)  (tn=80640, r=5172)
step=260000: nr=428 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11238 (0)  (tn=80640, r=5090)
step=270000: nr=413 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11361 (0)  (tn=80640, r=5214)
step=280000: nr=419 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11439 (0)  (tn=80640, r=5310)
step=290000: nr=403 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11488 (0)  (tn=80640, r=5245)
step=300000: nr=387 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11580 (0)  (tn=80640, r=5405)
step=310000: nr=373 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11457 (0)  (tn=80640, r=5593)
step=320000: nr=434 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11403 (0)  (tn=80640, r=5224)
step=330000: nr=433 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11342 (0)  (tn=80640, r=4735)
step=340000: nr=360 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11174 (0)  (tn=80640, r=4871)
step=350000: nr=377 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11211 (0)  (tn=80640, r=5218)
step=360000: nr=345 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11105 (0)  (tn=80640, r=6145)
step=370000: nr=366 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11093 (0)  (tn=80640, r=6857)
step=380000: nr=343 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11037 (0)  (tn=80640, r=7297)
step=390000: nr=379 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11236 (0)  (tn=80640, r=6964)
step=400000: nr=294 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11221 (0)  (tn=80640, r=7467)
step=410000: nr=329 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11308 (0)  (tn=80640, r=7661)
step=420000: nr=399 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11374 (0)  (tn=80640, r=6870)
step=430000: nr=406 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11381 (0)  (tn=80640, r=6597)
step=440000: nr=464 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11327 (1)  (tn=80640, r=5786)
step=450000: nr=420 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11410 (5)  (tn=80640, r=5474)
step=460000: nr=455 (13), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11466 (31)  (tn=80640, r=5021)
step=470000: nr=462 (10), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11420 (30)  (tn=80640, r=4861)
step=480000: nr=461 (21), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11388 (82)  (tn=80640, r=4923)
step=490000: nr=451 (34), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11391 (125)  (tn=80640, r=4944)
step=500000: nr=446 (49), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11437 (146)  (tn=80640, r=5422)
step=510000: nr=473 (72), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11492 (201)  (tn=80640, r=4884)
step=520000: nr=498 (122), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11382 (334)  (tn=80640, r=5123)
step=530000: nr=579 (158), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11294 (471)  (tn=80640, r=5108)
step=540000: nr=660 (214), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11102 (587)  (tn=80640, r=4853)
step=550000: nr=687 (247), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11011 (632)  (tn=80640, r=4885)
step=560000: nr=831 (341), hr=6 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10789 (832)  (tn=80640, r=4681)
step=570000: nr=916 (366), hr=7 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10752 (914)  (tn=80640, r=4060)
