step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4727 (0)  (tn=80640, r=75113)
step=20000: nr=13 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=1 (0), ctr3=0 (0), unit=6949 (0)  (tn=80640, r=64352)
step=30000: nr=97 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10023 (0)  (tn=80640, r=47393)
step=40000: nr=139 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11548 (0)  (tn=80640, r=36067)
step=50000: nr=185 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12033 (0)  (tn=80640, r=30132)
step=60000: nr=235 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11838 (0)  (tn=80640, r=27188)
step=70000: nr=245 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11580 (0)  (tn=80640, r=25141)
step=80000: nr=237 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11272 (0)  (tn=80640, r=23544)
step=90000: nr=247 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10979 (0)  (tn=80640, r=21980)
step=100000: nr=236 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10779 (0)  (tn=80640, r=20665)
step=110000: nr=237 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10497 (0)  (tn=80640, r=19834)
step=120000: nr=197 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10304 (0)  (tn=80640, r=19119)
step=130000: nr=208 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10198 (0)  (tn=80640, r=18116)
step=140000: nr=230 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10237 (0)  (tn=80640, r=16948)
step=150000: nr=277 (14), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10038 (32)  (tn=80640, r=16389)
step=160000: nr=304 (52), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9801 (118)  (tn=80640, r=15688)
step=170000: nr=386 (117), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9694 (234)  (tn=80640, r=14348)
step=180000: nr=441 (141), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9380 (335)  (tn=80640, r=13091)
step=190000: nr=450 (182), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9279 (425)  (tn=80640, r=12193)
step=200000: nr=496 (242), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9264 (565)  (tn=80640, r=10988)
step=210000: nr=569 (288), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9180 (639)  (tn=80640, r=9684)
step=220000: nr=616 (349), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8992 (755)  (tn=80640, r=8907)
step=230000: nr=694 (416), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8890 (882)  (tn=80640, r=8161)
step=240000: nr=747 (451), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8624 (988)  (tn=80640, r=7315)
step=250000: nr=834 (524), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8344 (1149)  (tn=80640, r=6368)
