step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4771 (0)  (tn=80640, r=75033)
step=20000: nr=3 (0), hr=2 (0), hr_nr=0 (0), ctr1=1 (0), ctr2=0 (0), ctr3=2 (0), unit=6586 (0)  (tn=80640, r=66951)
step=30000: nr=29 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9399 (0)  (tn=80640, r=53168)
step=40000: nr=75 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11130 (0)  (tn=80640, r=41987)
step=50000: nr=112 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11854 (0)  (tn=80640, r=35525)
step=60000: nr=147 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12205 (0)  (tn=80640, r=32023)
step=70000: nr=188 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12018 (0)  (tn=80640, r=29963)
step=80000: nr=224 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11844 (0)  (tn=80640, r=28567)
step=90000: nr=219 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11770 (0)  (tn=80640, r=27251)
step=100000: nr=209 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11587 (0)  (tn=80640, r=26087)
step=110000: nr=210 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11493 (0)  (tn=80640, r=24332)
step=120000: nr=219 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11418 (0)  (tn=80640, r=23427)
step=130000: nr=234 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11392 (0)  (tn=80640, r=22455)
step=140000: nr=263 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11176 (0)  (tn=80640, r=21474)
step=150000: nr=253 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11179 (0)  (tn=80640, r=20418)
step=160000: nr=281 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11074 (0)  (tn=80640, r=19819)
step=170000: nr=293 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11025 (0)  (tn=80640, r=18764)
step=180000: nr=290 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10913 (0)  (tn=80640, r=17687)
step=190000: nr=382 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10867 (0)  (tn=80640, r=16783)
step=200000: nr=379 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10595 (0)  (tn=80640, r=16045)
step=210000: nr=413 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10551 (0)  (tn=80640, r=14501)
