step=370000: nr=1011 (521), hr=7 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10366 (1162)  (tn=80640, r=4609)
step=380000: nr=1057 (608), hr=5 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10177 (1342)  (tn=80640, r=4317)
step=390000: nr=1133 (642), hr=5 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10084 (1444)  (tn=80640, r=3926)
step=400000: nr=1197 (705), hr=12 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9986 (1581)  (tn=80640, r=3934)
step=410000: nr=1108 (701), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9942 (1623)  (tn=80640, r=4518)
step=420000: nr=1180 (730), hr=5 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9955 (1614)  (tn=80640, r=4493)
step=430000: nr=1266 (756), hr=6 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9937 (1637)  (tn=80640, r=4715)
step=440000: nr=1209 (839), hr=7 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9722 (1867)  (tn=80640, r=4748)
step=450000: nr=1322 (830), hr=7 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9707 (1846)  (tn=80640, r=4009)
step=460000: nr=1338 (873), hr=6 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9673 (1924)  (tn=80640, r=4047)
step=470000: nr=1304 (867), hr=5 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9645 (1976)  (tn=80640, r=3527)
step=480000: nr=1321 (882), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9584 (2032)  (tn=80640, r=3388)
step=490000: nr=1260 (855), hr=7 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9665 (1979)  (tn=80640, r=3838)
step=500000: nr=1375 (952), hr=11 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9514 (2125)  (tn=80640, r=4048)
step=510000: nr=1373 (956), hr=11 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9537 (2140)  (tn=80640, r=4076)
step=520000: nr=1433 (976), hr=5 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9459 (2213)  (tn=80640, r=3798)
step=530000: nr=1444 (939), hr=6 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9572 (2092)  (tn=80640, r=3704)
step=540000: nr=1317 (876), hr=10 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9507 (2026)  (tn=80640, r=3833)
step=550000: nr=1401 (956), hr=12 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9504 (2162)  (tn=80640, r=3729)
step=560000: nr=1446 (1019), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9542 (2245)  (tn=80640, r=3474)
step=570000: nr=1393 (988), hr=16 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9373 (2202)  (tn=80640, r=3820)
step=580000: nr=1365 (938), hr=16 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9407 (2189)  (tn=80640, r=4040)
step=590000: nr=1438 (1016), hr=12 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9445 (2225)  (tn=80640, r=4227)
step=600000: nr=1437 (1014), hr=10 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9378 (2291)  (tn=80640, r=4239)
step=610000: nr=1377 (959), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9423 (2131)  (tn=80640, r=4424)
