step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4682 (0)  (tn=80640, r=75132)
step=20000: nr=7 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=2 (0), ctr3=0 (0), unit=6868 (0)  (tn=80640, r=64624)
step=30000: nr=71 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9900 (0)  (tn=80640, r=48690)
step=40000: nr=147 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11559 (0)  (tn=80640, r=37539)
step=50000: nr=209 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11954 (0)  (tn=80640, r=31786)
step=60000: nr=242 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=12013 (0)  (tn=80640, r=28698)
step=70000: nr=231 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11960 (0)  (tn=80640, r=26257)
step=80000: nr=277 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11925 (0)  (tn=80640, r=23907)
step=90000: nr=253 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11704 (0)  (tn=80640, r=22515)
step=100000: nr=264 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11630 (0)  (tn=80640, r=21305)
step=110000: nr=252 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11456 (0)  (tn=80640, r=20278)
step=120000: nr=276 (6), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11218 (12)  (tn=80640, r=18953)
step=130000: nr=285 (17), hr=2 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11150 (46)  (tn=80640, r=18024)
step=140000: nr=333 (30), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10999 (79)  (tn=80640, r=16966)
